Date,{"SpaceDryBulbTemperature":"Kids Bedroom"},{"SpaceDryBulbTemperature":"Bathroom"},{"SpaceDryBulbTemperature":"Storage"},{"SpaceDryBulbTemperature":"Kitchen"},{"SpaceDryBulbTemperature":"Laundry"},{"SpaceDryBulbTemperature":"Livingroom"},{"SpaceDryBulbTemperature":"Main Bedroom"},{"SpaceDryBulbTemperature":"Hallway"}
01/01 - 0:15,21.568,21.605,21.994,21.441,21.904,21.397,21.704,21.999
01/01 - 0:30,21.432,21.499,21.989,21.302,21.880,21.134,21.565,21.996
01/01 - 0:45,21.358,21.441,21.981,21.225,21.861,20.993,21.483,21.989
01/01 - 1:00,21.300,21.393,21.968,21.162,21.840,20.895,21.419,21.975
01/01 - 1:15,21.245,21.346,21.953,21.100,21.818,20.809,21.361,21.956
01/01 - 1:30,21.189,21.299,21.937,21.037,21.794,20.727,21.304,21.933
01/01 - 1:45,21.133,21.251,21.920,20.972,21.766,20.646,21.246,21.909
01/01 - 2:00,21.079,21.204,21.902,20.909,21.738,20.566,21.188,21.883
01/01 - 2:15,21.028,21.159,21.884,20.848,21.709,20.491,21.133,21.858
01/01 - 2:30,20.976,21.114,21.865,20.787,21.678,20.418,21.079,21.832
01/01 - 2:45,20.925,21.068,21.847,20.725,21.646,20.344,21.024,21.806
01/01 - 3:00,20.876,21.024,21.828,20.665,21.613,20.272,20.971,21.781
01/01 - 3:15,20.829,20.982,21.809,20.608,21.579,20.204,20.919,21.756
01/01 - 3:30,20.783,20.940,21.791,20.550,21.545,20.137,20.869,21.730
01/01 - 3:45,20.737,20.898,21.772,20.493,21.509,20.070,20.818,21.705
01/01 - 4:00,20.693,20.858,21.752,20.439,21.474,20.006,20.770,21.680
01/01 - 4:15,20.652,20.819,21.733,20.389,21.438,19.947,20.724,21.654
01/01 - 4:30,20.612,20.780,21.714,20.341,21.402,19.890,20.679,21.629
01/01 - 4:45,20.572,20.741,21.695,20.293,21.366,19.834,20.634,21.604
01/01 - 5:00,20.532,20.702,21.676,20.244,21.329,19.779,20.590,21.579
01/01 - 5:15,20.495,20.665,21.657,20.199,21.292,19.747,20.551,21.554
01/01 - 5:30,20.460,20.630,21.637,20.155,21.255,19.737,20.519,21.529
01/01 - 5:45,20.426,20.595,21.618,20.113,21.219,19.743,20.492,21.505
01/01 - 6:00,20.397,20.565,21.598,20.077,21.184,19.763,20.472,21.481
01/01 - 6:15,20.374,20.540,21.579,20.050,21.153,19.826,20.466,21.457
01/01 - 6:30,20.355,20.518,21.560,20.027,21.123,19.913,20.471,21.435
01/01 - 6:45,20.337,20.498,21.541,20.007,21.097,20.018,20.489,21.413
01/01 - 7:00,20.321,20.480,21.522,19.989,21.076,20.107,20.513,21.393
01/01 - 7:15,20.308,20.464,21.503,19.974,21.058,20.148,20.532,21.374
01/01 - 7:30,20.295,20.449,21.485,19.961,21.044,20.160,20.542,21.356
01/01 - 7:45,20.284,20.436,21.467,19.952,21.032,20.153,20.541,21.339
01/01 - 8:00,20.276,20.427,21.449,19.949,21.020,20.148,20.537,21.322
01/01 - 8:15,20.271,20.421,21.432,19.951,21.008,20.164,20.538,21.306
01/01 - 8:30,20.268,20.418,21.415,19.959,20.994,20.202,20.545,21.291
01/01 - 8:45,20.268,20.418,21.398,19.971,20.980,20.258,20.558,21.275
01/01 - 9:00,20.271,20.420,21.382,19.990,20.966,20.323,20.576,21.260
01/01 - 9:15,20.279,20.425,21.366,20.017,20.953,20.395,20.596,21.245
01/01 - 9:30,20.289,20.433,21.350,20.047,20.941,20.469,20.617,21.231
01/01 - 9:45,20.302,20.442,21.335,20.085,20.930,20.542,20.638,21.219
01/01 - 10:00,20.316,20.453,21.320,20.122,20.920,20.612,20.658,21.206
01/01 - 10:15,20.328,20.463,21.306,20.154,20.911,20.674,20.675,21.195
01/01 - 10:30,20.339,20.474,21.292,20.185,20.905,20.731,20.691,21.184
01/01 - 10:45,20.350,20.486,21.279,20.217,20.899,20.781,20.706,21.174
01/01 - 11:00,20.357,20.495,21.266,20.244,20.895,20.823,20.717,21.164
01/01 - 11:15,20.362,20.503,21.254,20.268,20.892,20.851,20.723,21.155
01/01 - 11:30,20.368,20.512,21.242,20.291,20.891,20.868,20.725,21.146
01/01 - 11:45,20.375,20.523,21.230,20.317,20.891,20.878,20.726,21.138
01/01 - 12:00,20.384,20.535,21.219,20.344,20.892,20.886,20.726,21.130
01/01 - 12:15,20.395,20.550,21.208,20.372,20.894,20.891,20.725,21.122
01/01 - 12:30,20.408,20.567,21.197,20.401,20.897,20.899,20.724,21.115
01/01 - 12:45,20.425,20.587,21.187,20.428,20.901,20.908,20.724,21.108
01/01 - 13:00,20.445,20.610,21.177,20.456,20.905,20.921,20.725,21.101
01/01 - 13:15,20.467,20.638,21.168,20.482,20.909,20.935,20.726,21.094
01/01 - 13:30,20.491,20.670,21.159,20.507,20.914,20.953,20.728,21.088
01/01 - 13:45,20.519,20.707,21.151,20.529,20.919,20.974,20.731,21.082
01/01 - 14:00,20.547,20.741,21.144,20.546,20.923,20.991,20.731,21.077
01/01 - 14:15,20.578,20.773,21.136,20.554,20.927,21.001,20.727,21.071
01/01 - 14:30,20.617,20.810,21.130,20.561,20.931,21.006,20.720,21.065
01/01 - 14:45,20.666,20.853,21.124,20.571,20.934,21.007,20.712,21.060
01/01 - 15:00,20.723,20.901,21.118,20.579,20.937,21.003,20.703,21.055
01/01 - 15:15,20.782,20.951,21.113,20.582,20.938,20.983,20.693,21.049
01/01 - 15:30,20.843,21.008,21.109,20.586,20.940,20.961,20.682,21.044
01/01 - 15:45,20.909,21.077,21.106,20.585,20.942,20.925,20.670,21.040
01/01 - 16:00,20.982,21.167,21.104,20.581,20.943,20.879,20.656,21.038
01/01 - 16:15,21.054,21.271,21.103,20.575,20.944,20.827,20.641,21.038
01/01 - 16:30,21.126,21.386,21.103,20.573,20.944,20.778,20.625,21.041
01/01 - 16:45,21.203,21.517,21.103,20.568,20.942,20.722,20.606,21.050
01/01 - 17:00,21.290,21.665,21.103,20.564,20.939,20.664,20.585,21.066
01/01 - 17:15,21.380,21.802,21.103,20.566,20.935,20.613,20.565,21.091
01/01 - 17:30,21.463,21.901,21.105,20.574,20.929,20.565,20.543,21.126
01/01 - 17:45,21.538,21.976,21.108,20.587,20.922,20.519,20.522,21.171
01/01 - 18:00,21.596,22.028,21.113,20.604,20.913,20.471,20.498,21.221
01/01 - 18:15,21.627,22.058,21.122,20.625,20.904,20.419,20.474,21.275
01/01 - 18:30,21.645,22.076,21.137,20.649,20.893,20.365,20.448,21.328
01/01 - 18:45,21.647,22.080,21.157,20.677,20.880,20.308,20.421,21.375
01/01 - 19:00,21.639,22.074,21.183,20.705,20.868,20.248,20.394,21.415
01/01 - 19:15,21.613,22.051,21.213,20.732,20.854,20.186,20.365,21.444
01/01 - 19:30,21.570,22.011,21.247,20.756,20.839,20.120,20.334,21.463
01/01 - 19:45,21.511,21.960,21.279,20.774,20.824,20.054,20.303,21.473
01/01 - 20:00,21.421,21.883,21.307,20.780,20.807,19.979,20.268,21.473
01/01 - 20:15,21.341,21.814,21.328,20.781,20.790,19.905,20.233,21.466
01/01 - 20:30,21.278,21.756,21.341,20.776,20.773,19.837,20.197,21.454
01/01 - 20:45,21.226,21.707,21.345,20.764,20.755,19.772,20.163,21.437
01/01 - 21:00,21.179,21.664,21.344,20.747,20.736,19.711,20.128,21.417
01/01 - 21:15,21.142,21.627,21.340,20.726,20.717,19.654,20.094,21.396
01/01 - 21:30,21.106,21.590,21.333,20.701,20.698,19.599,20.061,21.373
01/01 - 21:45,21.070,21.552,21.324,20.672,20.679,19.546,20.028,21.350
01/01 - 22:00,21.032,21.513,21.315,20.640,20.660,19.492,19.994,21.326
01/01 - 22:15,20.995,21.473,21.305,20.606,20.641,19.439,19.960,21.303
01/01 - 22:30,20.956,21.432,21.294,20.570,20.622,19.386,19.926,21.279
01/01 - 22:45,20.918,21.390,21.283,20.532,20.603,19.333,19.892,21.255
01/01 - 23:00,20.879,21.348,21.272,20.493,20.585,19.280,19.857,21.232
01/01 - 23:15,20.841,21.305,21.260,20.454,20.565,19.229,19.823,21.209
01/01 - 23:30,20.802,21.262,21.249,20.414,20.545,19.178,19.788,21.185
01/01 - 23:45,20.764,21.219,21.237,20.373,20.524,19.128,19.753,21.163
01/02 - 0:00,20.725,21.176,21.225,20.332,20.502,19.079,19.718,21.140
01/02 - 0:15,20.686,21.132,21.213,20.292,20.481,19.029,19.683,21.117
01/02 - 0:30,20.647,21.088,21.201,20.249,20.459,18.979,19.648,21.094
01/02 - 0:45,20.607,21.044,21.189,20.206,20.436,18.929,19.613,21.072
01/02 - 1:00,20.569,21.001,21.176,20.162,20.413,18.880,19.579,21.049
01/02 - 1:15,20.531,20.958,21.163,20.118,20.390,18.833,19.545,21.027
01/02 - 1:30,20.493,20.915,21.150,20.074,20.367,18.786,19.512,21.004
01/02 - 1:45,20.455,20.872,21.136,20.028,20.344,18.739,19.479,20.982
01/02 - 2:00,20.417,20.829,21.122,19.981,20.320,18.692,19.446,20.960
01/02 - 2:15,20.378,20.784,21.108,19.932,20.296,18.644,19.413,20.937
01/02 - 2:30,20.338,20.740,21.094,19.882,20.272,18.597,19.379,20.915
01/02 - 2:45,20.299,20.696,21.080,19.830,20.246,18.549,19.346,20.893
01/02 - 3:00,20.260,20.652,21.065,19.775,20.220,18.502,19.313,20.871
01/02 - 3:15,20.222,20.608,21.050,19.720,20.194,18.457,19.281,20.849
01/02 - 3:30,20.184,20.565,21.035,19.667,20.167,18.414,19.250,20.827
01/02 - 3:45,20.147,20.522,21.020,19.614,20.140,18.372,19.219,20.805
01/02 - 4:00,20.110,20.479,21.005,19.562,20.112,18.331,19.188,20.783
01/02 - 4:15,20.072,20.436,20.989,19.509,20.084,18.287,19.156,20.761
01/02 - 4:30,20.034,20.392,20.973,19.457,20.055,18.243,19.123,20.739
01/02 - 4:45,19.996,20.349,20.957,19.404,20.026,18.199,19.091,20.717
01/02 - 5:00,19.962,20.310,20.941,19.358,19.998,18.162,19.062,20.695
01/02 - 5:15,19.939,20.279,20.925,19.329,19.970,18.174,19.049,20.673
01/02 - 5:30,19.920,20.251,20.908,19.306,19.944,18.233,19.048,20.651
01/02 - 5:45,19.904,20.226,20.891,19.286,19.918,18.325,19.059,20.630
01/02 - 6:00,19.889,20.203,20.874,19.267,19.894,18.436,19.077,20.609
01/02 - 6:15,19.877,20.181,20.857,19.252,19.873,18.641,19.117,20.590
01/02 - 6:30,19.867,20.163,20.840,19.241,19.856,18.893,19.177,20.571
01/02 - 6:45,19.861,20.148,20.824,19.234,19.842,19.165,19.257,20.554
01/02 - 7:00,19.860,20.138,20.807,19.234,19.832,19.380,19.355,20.540
01/02 - 7:15,19.862,20.131,20.791,19.237,19.833,19.542,19.457,20.528
01/02 - 7:30,19.865,20.124,20.776,19.243,19.843,19.655,19.558,20.518
01/02 - 7:45,19.871,20.120,20.761,19.254,19.859,19.710,19.649,20.511
01/02 - 8:00,19.880,20.121,20.746,19.270,19.878,19.778,19.729,20.505
01/02 - 8:15,19.893,20.125,20.732,19.286,19.894,19.878,19.805,20.499
01/02 - 8:30,19.907,20.131,20.718,19.318,19.906,19.996,19.875,20.494
01/02 - 8:45,19.920,20.138,20.705,19.356,19.914,20.142,19.943,20.488
01/02 - 9:00,19.936,20.146,20.692,19.410,19.919,20.311,20.010,20.483
01/02 - 9:15,19.952,20.155,20.680,19.462,19.923,20.477,20.071,20.477
01/02 - 9:30,19.968,20.166,20.668,19.503,19.926,20.629,20.124,20.472
01/02 - 9:45,19.984,20.176,20.657,19.577,19.931,20.769,20.168,20.467
01/02 - 10:00,20.001,20.189,20.646,19.620,19.937,20.891,20.207,20.462
01/02 - 10:15,20.019,20.202,20.635,19.665,19.944,20.991,20.243,20.458
01/02 - 10:30,20.038,20.217,20.625,19.723,19.954,21.077,20.278,20.453
01/02 - 10:45,20.058,20.233,20.615,19.773,19.967,21.141,20.309,20.447
01/02 - 11:00,20.074,20.245,20.606,19.817,19.981,21.192,20.340,20.443
01/02 - 11:15,20.083,20.253,20.597,19.857,19.998,21.218,20.366,20.439
01/02 - 11:30,20.092,20.260,20.588,19.900,20.017,21.223,20.387,20.437
01/02 - 11:45,20.101,20.268,20.580,19.953,20.039,21.216,20.403,20.434
01/02 - 12:00,20.112,20.277,20.572,20.008,20.061,21.203,20.415,20.433
01/02 - 12:15,20.127,20.291,20.564,20.069,20.084,21.191,20.423,20.431
01/02 - 12:30,20.146,20.306,20.556,20.131,20.108,21.186,20.432,20.430
01/02 - 12:45,20.173,20.328,20.549,20.187,20.132,21.189,20.443,20.429
01/02 - 13:00,20.207,20.355,20.542,20.243,20.155,21.201,20.457,20.428
01/02 - 13:15,20.250,20.392,20.535,20.294,20.178,21.222,20.472,20.427
01/02 - 13:30,20.300,20.441,20.529,20.339,20.201,21.255,20.489,20.427
01/02 - 13:45,20.355,20.496,20.524,20.377,20.223,21.302,20.507,20.427
01/02 - 14:00,20.405,20.545,20.518,20.408,20.244,21.349,20.524,20.427
01/02 - 14:15,20.465,20.605,20.514,20.442,20.262,21.399,20.541,20.427
01/02 - 14:30,20.535,20.672,20.510,20.478,20.283,21.441,20.558,20.428
01/02 - 14:45,20.613,20.740,20.506,20.519,20.307,21.477,20.574,20.429
01/02 - 15:00,20.698,20.807,20.504,20.562,20.332,21.506,20.591,20.431
01/02 - 15:15,20.784,20.874,20.503,20.600,20.359,21.512,20.606,20.433
01/02 - 15:30,20.871,20.948,20.503,20.643,20.388,21.519,20.619,20.436
01/02 - 15:45,20.955,21.032,20.506,20.685,20.415,21.515,20.628,20.441
01/02 - 16:00,21.041,21.136,20.511,20.727,20.442,21.498,20.635,20.447
01/02 - 16:15,21.125,21.257,20.517,20.765,20.467,21.479,20.641,20.457
01/02 - 16:30,21.207,21.387,20.524,20.803,20.490,21.463,20.645,20.470
01/02 - 16:45,21.285,21.530,20.532,20.837,20.512,21.445,20.648,20.490
01/02 - 17:00,21.365,21.677,20.541,20.870,20.532,21.426,20.648,20.517
01/02 - 17:15,21.443,21.810,20.550,20.898,20.549,21.399,20.643,20.554
01/02 - 17:30,21.522,21.923,20.560,20.929,20.565,21.369,20.636,20.600
01/02 - 17:45,21.598,22.011,20.573,20.961,20.579,21.333,20.627,20.655
01/02 - 18:00,21.660,22.069,20.590,20.995,20.592,21.294,20.616,20.715
01/02 - 18:15,21.699,22.105,20.610,21.032,20.603,21.248,20.604,20.777
01/02 - 18:30,21.728,22.136,20.635,21.071,20.612,21.198,20.591,20.837
01/02 - 18:45,21.753,22.156,20.666,21.111,20.620,21.145,20.576,20.891
01/02 - 19:00,21.764,22.165,20.702,21.150,20.627,21.091,20.559,20.937
01/02 - 19:15,21.754,22.159,20.742,21.187,20.631,21.032,20.541,20.973
01/02 - 19:30,21.721,22.139,20.782,21.221,20.634,20.971,20.520,21.001
01/02 - 19:45,21.677,22.110,20.820,21.248,20.635,20.906,20.497,21.019
01/02 - 20:00,21.604,22.058,20.854,21.265,20.635,20.833,20.472,21.028
